Option Name,score,Rent,100,Size (SqFt),100,Duration (mins),100,Notes,90,One Time Fees,5,Address,2,Contact,1,Distance,0,Images,0,modifier
[214 E 51st St Unit 1L](https://www.apartments.com/214-e-51st-st-new-york-ny-unit-1l/ct5p7mg/),100,"$2,150 ",97,650,93,11,96,"* Junior 1 BR * Elevator* Separate kitchen?* Dishwasher",5,,0,"[214 E 51st St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/214+E+51st+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",0,"To view this apartment or for your apartment needs, call/email/text Nick: 631-256-4479",0,0.5 mi,0,![Primary Photo - 214 E 51st St](https://images1.apartments.com/i2/tQJoTEDwO8CgJyHqY29ejbK-N_2s4Q6Hq6_I09bypsQ/110/214-e-51st-st-unit-1l-new-york-ny-primary-photo.jpg) ![Building Photo - 214 E 51st St](https://images1.apartments.com/i2/oyYS3BdNUbQ0TyclJ2VtdLA3SFsNbbTCoNCiaD-UXI4/118/214-e-51st-st-unit-1l-new-york-ny-building-photo.jpg) ![Building Photo - 214 E 51st St](https://images1.apartments.com/i2/eRCpmoRphO2YBvCGgdZ5_qb9CpPHQVKbBlfWy_qHxho/118/214-e-51st-st-unit-1l-new-york-ny-building-photo.jpg) ![Building Photo - 214 E 51st St](https://images1.apartments.com/i2/WJ0xMNFMHzQ4ooUKCvQUu0N-sceXDm7y1Q48IjdbTQE/118/214-e-51st-st-unit-1l-new-york-ny-building-photo.jpg) ,0,0
[145 E 72nd St Unit 4F](https://www.apartments.com/145-e-72nd-st-new-york-ny-unit-4f/g0h1gsy/),97.6,"$2,250 ",96,600,90,14,93,"* 3 flight walk up* Decorative fireplace",5,,0,"[145 E 72nd St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/145+E+72nd+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",0,844-256-9168,0,0.7 mi,0,![Primary Photo - 145 E 72nd St](https://images1.apartments.com/i2/1VfmKxu4GG94KurJSND9sqXaU1w2sl5XgLxCgFCEKh4/110/145-e-72nd-st-unit-4f-new-york-ny-primary-photo.jpg) ![Building Photo - 145 E 72nd St](https://images1.apartments.com/i2/cmXflXvFvXNlDNFz0bdw2Fvfk4Fqa-gZ7b1bVdMhcQk/118/145-e-72nd-st-unit-4f-new-york-ny-building-photo.jpg) ![Building Photo - 145 E 72nd St](https://images1.apartments.com/i2/0k3LsdcTYU3s7UBl5Dedl1cKEaXdqJYN4LA1XEDj6OU/118/145-e-72nd-st-unit-4f-new-york-ny-building-photo.jpg) ![Building Photo - 145 E 72nd St](https://images1.apartments.com/i2/_jCvm1PHqWimgcMXYNhJV5pTFsLv9mkurblREWBMT3c/118/145-e-72nd-st-unit-4f-new-york-ny-building-photo.jpg) ,0,0
[245 E 72nd St](https://www.apartments.com/245-e-72nd-st-new-york-ny/02rhmb2/),97.6,"$2,325 ",94,700,95,17,90,"* Elevator* Double-check address: says WEST side in description",5,,0,"[245 E 72nd St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/245+E+72nd+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",0,646-679-1200,0,0.8 mi,0,![Primary Photo - 245 E 72nd St](https://images1.apartments.com/i2/FWClqIPJsTDXXyOI_kTwANaUB7Me3_hjhkLkUgVx-3w/110/245-e-72nd-st-new-york-ny-primary-photo.jpg) ![Building Photo - 245 E 72nd St](https://images1.apartments.com/i2/Wneda51KxnkyKm3k9E5GELARYIg0fnYEAn6kJCdO-as/118/245-e-72nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 245 E 72nd St](https://images1.apartments.com/i2/1rKNz8Mx9skK4FDmmzuqbdhWC9AitJ6G3DubWmLH1a8/118/245-e-72nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 245 E 72nd St](https://images1.apartments.com/i2/NlV9gxqvJZ6YRaIRiQH8x03wMjk5Qbo36gbj50qql6Q/118/245-e-72nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 245 E 72nd St](https://images1.apartments.com/i2/S97l78rLZ4CKhZ-Q2eMabyTUbE3PQPl2FmDJJV6QXX8/118/245-e-72nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 245 E 72nd St](https://images1.apartments.com/i2/LrRm2CjtE5UT_HxC4O7ORUmt3Zab7vr-vfts-X2Fd-Q/118/245-e-72nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 245 E 72nd St](https://images1.apartments.com/i2/uj5coHeIr4RAyQcM2N7n9sJ3xcPJHiigbWbjcvkIemI/118/245-e-72nd-st-new-york-ny-building-photo.jpg) ,0,0
[320 E 35th St Unit 51](https://www.apartments.com/320-e-35th-st-new-york-ny-unit-51/5bwrmmq/),95.9,"$2,100 ",97,880,100,30,77,"* Dishwasher* Really tiny kitchen: stove?* Rent is NET EFFECTIVE!",5,,0,"[320 E 35th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/320+E+35th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",0,,0,1.5 mi,0,![Primary Photo - 320 E 35th St](https://images1.apartments.com/i2/KV3cpzB8N5DHveUqKjNfFZl6AB_ovjuE1C3llzy4NuI/110/320-e-35th-st-unit-51-new-york-ny-primary-photo.jpg) ![Building Photo - 320 E 35th St](https://images1.apartments.com/i2/mSTsK7c50WbEWOX9fkU9SsIpjAE3K3N90VL82yGqRIY/118/320-e-35th-st-unit-51-new-york-ny-building-photo.jpg) ![Building Photo - 320 E 35th St](https://images1.apartments.com/i2/_p7E_vo3nZLOuEf_qdNufvF3azpJuulTrqZzQJJ62rQ/118/320-e-35th-st-unit-51-new-york-ny-building-photo.jpg) ![Building Photo - 320 E 35th St](https://images1.apartments.com/i2/_VKS8HDEtuBpx3-BVBKdYCtDbvIoBXFSL5_6GMXFkGA/118/320-e-35th-st-unit-51-new-york-ny-building-photo.jpg) ,0,0
[325 E 74th St Unit 3C](https://www.apartments.com/325-e-74th-st-new-york-ny-unit-3c/fqvgm4v/),95.2,"$2,425 ",93,650,93,21,86,?,5,,0,"[325 E 74th St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/325+E+74th+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",0,844-835-0486,0,1.0 mi,0,![Primary Photo - 325 E 74th St](https://images1.apartments.com/i2/X5NFuvbvn3K676JHjipBCAS8LhXuqwqcMaZ4YnvXMmw/110/325-e-74th-st-unit-3c-new-york-ny-primary-photo.jpg) ![Building Photo - 325 E 74th St](https://images1.apartments.com/i2/pAvgG0BRcLax2Sc2nxnv91OeMiPXuTBuCrGxks5_1iE/118/325-e-74th-st-unit-3c-new-york-ny-building-photo.jpg) ![Building Photo - 325 E 74th St](https://images1.apartments.com/i2/Q7W5-W01ghmVS26XnI13O8K4WeXTYVKEXXyuwk2sOLA/118/325-e-74th-st-unit-3c-new-york-ny-building-photo.jpg) ![Building Photo - 325 E 74th St](https://images1.apartments.com/i2/qX2XK5SyN8Q1gzbO5Xm4FwFQxbii0I64i04xZigO5Ho/118/325-e-74th-st-unit-3c-new-york-ny-building-photo.jpg) ,0,0
[271 E 78th St Unit 4](https://www.apartments.com/271-e-78th-st-new-york-ny-unit-4/mpky4wk/),95.2,"$2,395 ",93,700,95,23,84,?,5,,0,"[271 E 78th St, New York, NY 10075](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/271+E+78th+St,+New+York,+NY+10075/data=!4m2!4m1!3e2)",0,844-314-5867,0,1.1 mi,0,![Primary Photo - 271 E 78th St](https://images1.apartments.com/i2/eeXrlH_O7XU7uoHsnhFxVzzxpmLFpN3hXjL3avkHxmk/110/271-e-78th-st-unit-4-new-york-ny-primary-photo.jpg) ![Building Photo - 271 E 78th St](https://images1.apartments.com/i2/t1ZUFdRw_2g_D4ZfCneZJdeLKVosgxWDpKGy95GBii0/118/271-e-78th-st-unit-4-new-york-ny-building-photo.jpg) ![Building Photo - 271 E 78th St](https://images1.apartments.com/i2/MRHhb6e6Q2A_09dT99pKQmtHkjWGfX49BsHEvkarf9k/118/271-e-78th-st-unit-4-new-york-ny-building-photo.jpg) ![Building Photo - 271 E 78th St](https://images1.apartments.com/i2/UxQRiJ3V4DCucjCGaJN6868eH3aOreOCktnh1dr277s/118/271-e-78th-st-unit-4-new-york-ny-building-photo.jpg) ![Building Photo - 271 E 78th St](https://images1.apartments.com/i2/bOGwm-uO-dz2U2SfPBk4FuHLOc5ISuEMvlxpiVLi68o/118/271-e-78th-st-unit-4-new-york-ny-building-photo.jpg) ,0,0
[342 E 76th St](https://www.apartments.com/342-e-76th-st-new-york-ny/v8n6d2f/),94.1,"$2,450 ",92,650,93,23,84,?,5,,0,"[342 E 76th St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/342+E+76th+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",0,844-517-7322,0,1.1 mi,0,![Primary Photo - 342 E 76th St](https://images1.apartments.com/i2/fBd1RghfO2PQRJlLdLeoov0PJm4L2itickMX3NN5DmQ/110/342-e-76th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 342 E 76th St](https://images1.apartments.com/i2/P66Tb3zEXO4MFNH0SSoYKQrX1cT5VCEiAGWNS-pvsj0/118/342-e-76th-st-new-york-ny-building-photo.jpg) ![Building Photo - 342 E 76th St](https://images1.apartments.com/i2/yXpyXLDjPgZDM9f9eK6x5uY23c0N4H80P8kVXXnp9Zc/118/342-e-76th-st-new-york-ny-building-photo.jpg) ![Building Photo - 342 E 76th St](https://images1.apartments.com/i2/iP_WEffV2NTuyNV1Llib2mF4ZTpx4jX1n3P3otQUugo/118/342-e-76th-st-new-york-ny-building-photo.jpg) ,0,0
[334 E 35th St](https://www.apartments.com/334-e-35th-st-new-york-ny/qdhcpjz/),93.4,"$2,295 ",95,700,95,30,77,?,5,,0,"[334 E 35th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/334+E+35th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",0,844-323-1151,0,1.5 mi,0,![Primary Photo - 334 E 35th St](https://images1.apartments.com/i2/ey_aT0whLmSGIXtqk1yYAAEwZp9YPASQCO32BBtncPQ/110/334-e-35th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 334 E 35th St](https://images1.apartments.com/i2/X-WVrzb-K791l1ei0zakiOVMluNA7c_YLPNh7-bnWJg/118/334-e-35th-st-new-york-ny-building-photo.jpg) ![Building Photo - 334 E 35th St](https://images1.apartments.com/i2/wwcLXjM4dsfJPSU22tOO9OjMZ739C0Zk5ruUrCPRCsE/118/334-e-35th-st-new-york-ny-building-photo.jpg) ![Building Photo - 334 E 35th St](https://images1.apartments.com/i2/1Ire5VckgnHTWiny1uqe3wxckEMlqA8KM6S4PS1GRIM/118/334-e-35th-st-new-york-ny-building-photo.jpg) ![Building Photo - 334 E 35th St](https://images1.apartments.com/i2/ONfvJaBeUcDFWi3O3cgNRgjFt9MFfZN3dgRBr-OYMU8/118/334-e-35th-st-new-york-ny-building-photo.jpg) ,0,0
[242 E 75th St Unit 1B](https://www.apartments.com/242-e-75th-st-new-york-ny-unit-1b/gcd13ry/),92.1,"$2,200 ",96,500,80,20,87,?,5,,0,"[242 E 75th St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/242+E+75th+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",0,212-574-4658,0,1.0 mi,0,![Primary Photo - 242 E 75th St](https://images1.apartments.com/i2/eRWAKE7I2_kH7UlOBMo5l0ejHdS9SICwIGQ16DGFRBo/110/242-e-75th-st-unit-1b-new-york-ny-primary-photo.jpg) ![Building Photo - 242 E 75th St](https://images1.apartments.com/i2/tLHs4r1E6IJmZGzS0wkhytRlWAnvuYgOAiv1VV7WeUM/118/242-e-75th-st-unit-1b-new-york-ny-building-photo.jpg) ![Building Photo - 242 E 75th St](https://images1.apartments.com/i2/XI9muQe5iBOo8cQ4MxLvWl4PzsgGbnh95xKpHbTZHiM/118/242-e-75th-st-unit-1b-new-york-ny-building-photo.jpg) ![Building Photo - 242 E 75th St](https://images1.apartments.com/i2/Om8541kjPH_wiXNRpKqMuf6VQJfF5iIfak7BhjSmnS4/118/242-e-75th-st-unit-1b-new-york-ny-building-photo.jpg) ,0,0
[36 W 75th St Unit 4B](https://www.apartments.com/36-w-75th-st-new-york-ny-unit-4b/ydebpdr/),91.7,"$2,250 ",96,580,90,31,76,?,5,,0,"[36 W 75th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/36+W+75th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)",0,844-830-3297,0,1.5 mi,0,![Primary Photo - 36 W 75th St](https://images1.apartments.com/i2/doUZm-Z8H9JETBKfj3DlInswOo0n_CzJ1uJ3WmM546w/110/36-w-75th-st-unit-4b-new-york-ny-primary-photo.jpg) ![Building Photo - 36 W 75th St](https://images1.apartments.com/i2/GsAXlxWFEsTO4-Y9tKYE3vjpHgSxHJU1YGbnDMeTDg0/118/36-w-75th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 36 W 75th St](https://images1.apartments.com/i2/VVV72B8MXol8xDyXODpncHS5tSN27JBcaPY77hzpE6o/118/36-w-75th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 36 W 75th St](https://images1.apartments.com/i2/Xv88WTfMCmn1f0DzHA8RTTFN4Fo8HfXv0I6LcWZx1vI/118/36-w-75th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 36 W 75th St](https://images1.apartments.com/i2/oOU1lRB2v-3HLvRwSUncHHcWkbu8wqwopobF7Nym5bU/118/36-w-75th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 36 W 75th St](https://images1.apartments.com/i2/CGFEeUtOqGhqP7joyknyVcAjlZdvbQlsQ6iUf4TmL-8/118/36-w-75th-st-unit-4b-new-york-ny-building-photo.jpg) ,0,0
